oid,relname,relnamespace,reltype,reloftype,relowner,relam,relfilenode,reltablespace,relpages,reltuples,relallvisible,reltoastrelid,relhasindex,relisshared,relpersistence,relkind,relnatts,relchecks,relhasrules,relhastriggers,relhassubclass,relrowsecurity,relforcerowsecurity,relispopulated,relreplident,relispartition,relrewrite,relfrozenxid,relminmxid,relacl,reloptions,relpartbound
2619,pg_statistic,11,10029,0,10,2,2619,0,19,410,19,2840,t,f,p,r,31,0,f,f,f,f,f,t,n,f,0,731,1,{postgres=arwdDxtm/postgres},,
1247,pg_type,11,71,0,10,2,0,0,15,617,15,4171,t,f,p,r,32,0,f,f,f,f,f,t,n,f,0,731,1,"{postgres=arwdDxtm/postgres,=r/postgres}",,
2836,pg_toast_1255,99,0,0,10,2,0,0,1,3,1,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
2837,pg_toast_1255_index,99,0,0,10,403,0,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4171,pg_toast_1247,99,0,0,10,2,0,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4172,pg_toast_1247_index,99,0,0,10,403,0,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2830,pg_toast_2604,99,0,0,10,2,2830,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
2831,pg_toast_2604_index,99,0,0,10,403,2831,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2832,pg_toast_2606,99,0,0,10,2,2832,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
2833,pg_toast_2606_index,99,0,0,10,403,2833,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4157,pg_toast_2612,99,0,0,10,2,4157,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4158,pg_toast_2612_index,99,0,0,10,403,4158,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4159,pg_toast_2600,99,0,0,10,2,4159,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4160,pg_toast_2600_index,99,0,0,10,403,4160,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2840,pg_toast_2619,99,0,0,10,2,2840,0,3,13,3,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
2841,pg_toast_2619_index,99,0,0,10,403,2841,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
3439,pg_toast_3381,99,0,0,10,2,3439,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
3440,pg_toast_3381_index,99,0,0,10,403,3440,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
3430,pg_toast_3429,99,0,0,10,2,3430,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
3431,pg_toast_3429_index,99,0,0,10,403,3431,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2838,pg_toast_2618,99,0,0,10,2,2838,0,63,278,63,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
2839,pg_toast_2618_index,99,0,0,10,403,2839,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2336,pg_toast_2620,99,0,0,10,2,2336,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
2337,pg_toast_2620_index,99,0,0,10,403,2337,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4145,pg_toast_3466,99,0,0,10,2,4145,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4146,pg_toast_3466_index,99,0,0,10,403,4146,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2834,pg_toast_2609,99,0,0,10,2,2834,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
2835,pg_toast_2609_index,99,0,0,10,403,2835,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
3118,pg_foreign_table,11,10082,0,10,2,3118,0,0,0,0,4153,t,f,p,r,3,0,f,f,f,f,f,t,n,f,0,731,1,"{postgres=arwdDxtm/postgres,=r/postgres}",,
4163,pg_toast_2615,99,0,0,10,2,4163,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4164,pg_toast_2615_index,99,0,0,10,403,4164,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4177,pg_toast_1262,99,0,0,10,2,0,1664,0,0,0,0,t,t,p,t,3,0,f,f,f,f,f,t,n,f,0,737,1,,,
4178,pg_toast_1262_index,99,0,0,10,403,0,1664,1,0,0,0,f,t,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2966,pg_toast_2964,99,0,0,10,2,0,1664,0,0,0,0,t,t,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
2967,pg_toast_2964_index,99,0,0,10,403,0,1664,1,0,0,0,f,t,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4185,pg_toast_1213,99,0,0,10,2,0,1664,0,0,0,0,t,t,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4186,pg_toast_1213_index,99,0,0,10,403,0,1664,1,0,0,0,f,t,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4175,pg_toast_1260,99,0,0,10,2,0,1664,0,0,0,0,t,t,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4176,pg_toast_1260_index,99,0,0,10,403,0,1664,1,0,0,0,f,t,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2846,pg_toast_2396,99,0,0,10,2,0,1664,0,0,0,0,t,t,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
2847,pg_toast_2396_index,99,0,0,10,403,0,1664,1,0,0,0,f,t,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4169,pg_toast_3600,99,0,0,10,2,4169,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4170,pg_toast_3600_index,99,0,0,10,403,4170,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
4147,pg_toast_3079,99,0,0,10,2,4147,0,0,0,0,0,t,f,p,t,3,0,f,f,f,f,f,t,n,f,0,731,1,,,
4148,pg_toast_3079_index,99,0,0,10,403,4148,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
