oid,typname,typnamespace,typowner,typlen,typbyval,typtype,typcategory,typispreferred,typisdefined,typdelim,typrelid,typsubscript,typelem,typarray,typinput,typoutput,typreceive,typsend,typmodin,typmodout,typanalyze,typalign,typstorage,typnotnull,typbasetype,typtypmod,typndims,typcollation,typdefaultbin,typdefault,typacl
16,bool,11,10,1,t,b,B,t,t,",",0,0,0,1000,1242,1243,2436,2437,0,0,0,c,p,f,0,-1,0,0,,,
17,bytea,11,10,-1,f,b,U,f,t,",",0,0,0,1001,1244,31,2412,2413,0,0,0,i,x,f,0,-1,0,0,,,
18,char,11,10,1,t,b,Z,f,t,",",0,0,0,1002,1245,33,2434,2435,0,0,0,c,p,f,0,-1,0,0,,,
19,name,11,10,64,f,b,S,f,t,",",0,6180,18,1003,34,35,2422,2423,0,0,0,c,p,f,0,-1,0,950,,,
20,int8,11,10,8,t,b,N,f,t,",",0,0,0,1016,460,461,2408,2409,0,0,0,d,p,f,0,-1,0,0,,,
21,int2,11,10,2,t,b,N,f,t,",",0,0,0,1005,38,39,2404,2405,0,0,0,s,p,f,0,-1,0,0,,,
22,int2vector,11,10,-1,f,b,A,f,t,",",0,6179,21,1006,40,41,2410,2411,0,0,0,i,p,f,0,-1,0,0,,,
23,int4,11,10,4,t,b,N,f,t,",",0,0,0,1007,42,43,2406,2407,0,0,0,i,p,f,0,-1,0,0,,,
24,regproc,11,10,4,t,b,N,f,t,",",0,0,0,1008,44,45,2444,2445,0,0,0,i,p,f,0,-1,0,0,,,
25,text,11,10,-1,f,b,S,t,t,",",0,0,0,1009,46,47,2414,2415,0,0,0,i,x,f,0,-1,0,100,,,
26,oid,11,10,4,t,b,N,t,t,",",0,0,0,1028,1798,1799,2418,2419,0,0,0,i,p,f,0,-1,0,0,,,
27,tid,11,10,6,f,b,U,f,t,",",0,0,0,1010,48,49,2438,2439,0,0,0,s,p,f,0,-1,0,0,,,
